Id2,Geography,County,Total_Population,Male,Female,Women,Men,Boys,Girls,Children,Percent_Female,Percent_Male,Percent_Women,Percent_Men,Percent_Boys,Percent_Girls,P_Male_NoHealthInsurance,P_Female_NoHealthInsurance,P_NoHealthInsurance,Male_Unemployment_Rate,Female_Unemployment_Rate,IBP_Men,IBP_Children,IBP_Women,IAP_Men,IAP_Children,IAP_Women,Percent_IBP_Men,Percent_IAP_Men,Percent_IBP_Women,Percent_IAP_Women,Percent_IBP_Children,Percent_IAP_Children,Total_Median_Earnings,Male_Median_Earnings,Male_FT_Median_Earnings,Male_Other_Median_Earnings,Female Median Earnings,Female_FT_Median_Earnings,Female_Other_Median_Earnings,P_Male_Less_than_high_school_diploma,P_Male_High_school_graduate_(includes_equivalency),P_Male_Some_college_or_associates_degree,P_Male_Bachelors_degree_or_higher,P_Female_Less_than_high_school_diploma,P_Female_High_school_graduate_(includes_equivalency),P_Female_Some_college_or_associates_degree,P_Female_Bachelors_degree_or_higher,Percent of Women in Poverty
28001,"Adams County, Mississippi",Adams County,31747,15901,15846,12379,12277,3624,2810,6434,0.499133776,0.500866224,0.502068462,0.497931538,0.563257694,0.436742306,0.197214076,0.134378785,0.163603505,0.106777929,0.094750743,1876,3682,3347,8181,3360,8855,0.186536741,0.813463259,0.274299295,0.725700705,0.522862823,0.477137177,25998,29350,38059,9068,22228,30830,10234,0.238267802,0.382134445,0.246240261,0.133357492,0.146712243,0.307277143,0.318161374,0.22784924,27.43%
28003,"Alcorn County, Mississippi",Alcorn County,37309,18354,18955,14699,13695,4659,3580,8239,0.508054357,0.491945643,0.517679792,0.482320208,0.565481248,0.434518752,0.17960519,0.140147692,0.159454106,0.087539432,0.065143938,2061,2380,2864,11357,6265,11727,0.153599642,0.846400358,0.196285381,0.803714619,0.275303644,0.724696356,25045,29297,37093,9263,21804,30817,10565,0.193804939,0.364671411,0.289242361,0.152281289,0.179175476,0.335095137,0.308290547,0.17743884,19.63%
28005,"Amite County, Mississippi",Amite County,12692,6302,6390,5191,4791,1511,1126,2637,0.503466751,0.496533249,0.520036065,0.479963935,0.572999621,0.427000379,0.14114066,0.149298439,0.145252284,0.103397881,0.109341369,1012,1060,1447,3719,1645,3697,0.213908265,0.786091735,0.2812986,0.7187014,0.391866913,0.608133087,22183,31029,36650,8359,16817,23277,6155,0.240958409,0.430379747,0.233047016,0.095614828,0.227961004,0.335822443,0.290188758,0.146027795,28.13%
28007,"Attala County, Mississippi",Attala County,19085,8996,10089,7629,6596,2400,1990,4390,0.528635054,0.471364946,0.536309315,0.463690685,0.546697039,0.453302961,0.146827657,0.102589741,0.123269436,0.097636177,0.132188841,1064,1556,1954,5325,3270,5591,0.166536234,0.833463766,0.258979457,0.741020543,0.322420224,0.677579776,22028,28638,38969,9753,15995,28032,6788,0.280928285,0.308672134,0.281102774,0.129296807,0.189087215,0.288492236,0.359164127,0.163256421,25.90%
28009,"Benton County, Mississippi",Benton County,8378,4159,4219,3285,3161,998,806,1804,0.503580807,0.496419193,0.509618368,0.490381632,0.553215078,0.446784922,0.177141471,0.190715482,0.183975904,0.151762902,0.12007874,794,357,731,2329,1575,2514,0.254242715,0.745757285,0.225269646,0.774730354,0.184782609,0.815217391,30233,36406,40523,9826,20790,29518,10282,0.269399707,0.390190337,0.23682284,0.103587116,0.208805871,0.346564376,0.320213476,0.124416278,22.53%
28011,"Bolivar County, Mississippi",Bolivar County,33615,15773,17842,13712,11458,4315,3571,7886,0.530774952,0.469225048,0.544775526,0.455224474,0.547172204,0.452827796,0.214641826,0.146587941,0.17816057,0.148402508,0.140521939,2931,4324,4842,7710,4043,8152,0.275444037,0.724555963,0.372633523,0.627366477,0.51679216,0.48320784,22024,27243,38223,7823,17737,26612,6459,0.283459662,0.26227806,0.257397986,0.196864292,0.225988218,0.242892513,0.301459916,0.229659353,37.26%
28013,"Calhoun County, Mississippi",Calhoun County,14724,7018,7706,5962,5180,1838,1488,3326,0.523363217,0.476636783,0.535092443,0.464907557,0.552615755,0.447384245,0.150288184,0.143288679,0.146626357,0.076947947,0.117326057,883,1377,1531,4219,2040,4344,0.173069385,0.826930615,0.260595745,0.739404255,0.402985075,0.597014925,23225,27714,36220,11329,20430,27942,9881,0.287878788,0.351998243,0.261747914,0.098375055,0.225589226,0.333894501,0.321922933,0.118593341,26.06%
28015,"Carroll County, Mississippi",Carroll County,10301,5229,5072,4084,4155,1074,887,1961,0.492379381,0.507620619,0.495691225,0.504308775,0.547679755,0.452320245,0.127543036,0.110316041,0.118998324,0.084494382,0.093849417,401,517,841,3640,1522,3202,0.099232863,0.900767137,0.208013851,0.791986149,0.253555665,0.746444335,30491,37008,51806,3704,25072,30542,9428,0.266521027,0.338339705,0.266794102,0.128345167,0.11572536,0.379844961,0.30952381,0.194905869,20.80%
28017,"Chickasaw County, Mississippi",Chickasaw County,17357,8437,8920,6736,6256,2181,1751,3932,0.513913695,0.486086305,0.518472906,0.481527094,0.554679552,0.445320448,0.172702965,0.130946987,0.151090525,0.104381443,0.113126079,954,1880,1789,5094,2452,4855,0.157738095,0.842261905,0.269265503,0.730734497,0.433979686,0.566020314,23406,27500,32247,20050,18833,26362,6919,0.284886979,0.377358491,0.225481039,0.112273492,0.258603408,0.361176078,0.272134982,0.108085533,26.93%
28019,"Choctaw County, Mississippi",Choctaw County,8320,4037,4283,3357,3051,986,836,1822,0.514783654,0.485216346,0.523876404,0.476123596,0.541163557,0.458836443,0.146599496,0.096842601,0.120891161,0.126181212,0.139950678,499,678,816,2494,1140,2522,0.166722352,0.833277648,0.244457759,0.755542241,0.372937294,0.627062706,25613,31115,35919,9055,19624,30794,7531,0.22438487,0.412045538,0.236871098,0.126698494,0.149093351,0.314304903,0.35728677,0.179314976,24.45%
28021,"Claiborne County, Mississippi",Claiborne County,9209,4309,4900,3890,3320,989,1120,2109,0.532088175,0.467911825,0.539528433,0.460471567,0.468942627,0.531057373,0.186843947,0.13147083,0.157400328,0.279138827,0.153297683,1116,1141,1297,1915,845,2313,0.368195315,0.631804685,0.359279778,0.640720222,0.574521652,0.425478348,16653,18295,33068,6743,15968,25920,7000,0.283120099,0.325629385,0.268262485,0.122988031,0.174491941,0.256131745,0.31850035,0.250875964,35.93%
28023,"Clarke County, Mississippi",Clarke County,16203,7616,8587,6641,5760,1856,1567,3423,0.529963587,0.470036413,0.535521329,0.464478671,0.542214432,0.457785568,0.106188839,0.11297461,0.109796879,0.11037844,0.101231601,748,1070,1269,4958,2673,5371,0.131090081,0.868909919,0.191114458,0.808885542,0.285866952,0.714133048,27273,33569,38611,12008,22313,27151,9612,0.23823415,0.386231039,0.269739401,0.10579541,0.163928931,0.334059671,0.331042575,0.170968823,19.11%
28025,"Clay County, Mississippi",Clay County,20147,9343,10804,8247,6987,2356,2108,4464,0.5362585,0.4637415,0.541354864,0.458645136,0.527777778,0.472222222,0.163757364,0.144271174,0.153257862,0.120539799,0.154189944,1130,2011,2018,5717,2819,6134,0.165035782,0.834964218,0.247546614,0.752453386,0.416356108,0.583643892,24297,31582,42996,8371,19202,30352,10273,0.214532303,0.341443367,0.263028111,0.180996219,0.2095186,0.304567834,0.289660832,0.196252735,24.75%
28027,"Coahoma County, Mississippi",Coahoma County,24804,11476,13328,9920,7998,3478,2793,6271,0.537332688,0.462667312,0.553633218,0.446366782,0.554616489,0.445383511,0.179548473,0.145990923,0.161452172,0.190943699,0.228917719,1925,3393,3223,5760,3453,6506,0.250487964,0.749512036,0.331277624,0.668722376,0.495617879,0.504382121,21469,23857,31190,7080,19511,27791,9427,0.279352227,0.279352227,0.303793672,0.137501874,0.181988963,0.251144769,0.367382881,0.199483386,33.13%
28029,"Copiah County, Mississippi",Copiah County,28780,13820,14960,11592,10304,3516,2990,6506,0.51980542,0.48019458,0.529411765,0.470588235,0.540424224,0.459575776,0.19272384,0.164793755,0.178227158,0.169794925,0.124151967,1991,2856,2997,7960,3978,8161,0.200080394,0.799919606,0.268596523,0.731403477,0.417910448,0.582089552,22334,30080,40786,10641,18852,26278,7978,0.252994012,0.312989406,0.316098572,0.11791801,0.193833036,0.31746976,0.350783264,0.13791394,26.86%
28031,"Covington County, Mississippi",Covington County,19503,9299,10204,7621,7013,2286,2011,4297,0.523201559,0.476798441,0.520773541,0.479226459,0.531999069,0.468000931,0.173578264,0.145823084,0.158928015,0.100274725,0.16714773,1165,1790,1988,5645,2992,5592,0.171071953,0.828928047,0.262269129,0.737730871,0.374320368,0.625679632,23802,26777,35985,9367,19510,30506,7008,0.222351378,0.415974759,0.246429758,0.115244105,0.190672963,0.350649351,0.2885183,0.170159386,26.23%
28033,"DeSoto County, Mississippi",DeSoto County,170890,82763,88127,65642,59476,23287,19221,42508,0.515694306,0.484305694,0.524640739,0.475359261,0.547826292,0.452173708,0.120392224,0.104643349,0.112258163,0.071987958,0.062612653,4301,5840,6807,54788,39167,58557,0.072788505,0.927211495,0.104139894,0.895860106,0.129757593,0.870242407,34223,41019,49899,11582,29881,37809,11456,0.126716087,0.309502262,0.36318475,0.2005969,0.091789172,0.27552118,0.373064249,0.259625399,10.41%
28035,"Forrest County, Mississippi",Forrest County,76274,36332,39942,31313,27312,9020,8357,17377,0.523664683,0.476335317,0.534123667,0.465876333,0.519076941,0.480923059,0.190500098,0.136293873,0.16200164,0.11273933,0.138101315,5914,6188,7768,20453,11248,21151,0.224295521,0.775704479,0.268612331,0.731387669,0.354897912,0.645102088,20553,23390,35261,8463,17117,31126,6521,0.146079143,0.307950626,0.314167726,0.231802505,0.13145158,0.264855411,0.324643104,0.279049904,26.86%
28037,"Franklin County, Mississippi",Franklin County,7818,3811,4007,3071,2829,982,876,1858,0.512535175,0.487464825,0.520508475,0.479491525,0.528525296,0.471474704,0.174005305,0.146747352,0.160031024,0.095837897,0.10472973,435,421,586,2343,1488,2438,0.156587473,0.843412527,0.193783069,0.806216931,0.220534311,0.779465689,30629,34583,40814,6816,26393,31995,9063,0.186937818,0.419241298,0.264372311,0.129448573,0.131673882,0.343795094,0.323232323,0.201298701,19.38%
28039,"George County, Mississippi",George County,23313,11736,11577,8456,8709,3027,2472,5499,0.496589885,0.503410115,0.492630352,0.507369648,0.550463721,0.449536279,0.188217629,0.146559196,0.167191601,0.083316841,0.093142272,1083,1419,1594,7212,4695,6823,0.130560579,0.869439421,0.189378638,0.810621362,0.232090285,0.767909715,30388,41282,48894,12336,20596,31137,7379,0.225403914,0.405096545,0.233153816,0.136345724,0.16841546,0.395271616,0.310931067,0.125381857,18.94%
28041,"Greene County, Mississippi",Greene County,13941,8190,5751,4261,6819,1371,1166,2537,0.412524209,0.587475791,0.384566787,0.615433213,0.54040205,0.45959795,0.193548387,0.178113473,0.185275843,0.092707525,0.119843924,524,477,913,3038,2363,3290,0.147108366,0.852891634,0.217225791,0.782774209,0.167957746,0.832042254,25059,31903,42372,11185,20146,23971,7244,0.300230187,0.391483065,0.2541927,0.054094048,0.165720186,0.328084667,0.389778007,0.11641714,21.72%
28043,"Grenada County, Mississippi",Grenada County,21518,10281,11237,8810,7584,2697,2155,4852,0.52221396,0.47778604,0.537391729,0.462608271,0.555853256,0.444146744,0.154431647,0.130695015,0.14188583,0.095078031,0.096863287,1209,2112,1769,6097,2923,6998,0.165480427,0.834519573,0.2017794,0.7982206,0.419463754,0.580536246,23188,26908,37188,8762,20622,29567,8606,0.265904647,0.313731388,0.270115807,0.150248158,0.194104135,0.2737366,0.348519653,0.183639612,20.18%
28045,"Hancock County, Mississippi",Hancock County,46028,22404,23624,18378,17315,5089,4384,9473,0.513252803,0.486747197,0.514890875,0.485109125,0.537211021,0.462788979,0.199085489,0.158769883,0.178370603,0.080985605,0.096067695,2677,2327,3486,14545,7925,14843,0.155440715,0.844559285,0.190190409,0.809809591,0.226980101,0.773019899,28389,33226,42295,12438,23867,31186,11212,0.16682851,0.297662977,0.327183272,0.208325241,0.147796651,0.270386266,0.371456205,0.210360878,19.02%
28047,"Harrison County, Mississippi",Harrison County,198570,98115,100455,76749,73485,24630,19217,43847,0.505892129,0.494107871,0.510863054,0.489136946,0.561726002,0.438273998,0.193920017,0.166088215,0.179526628,0.09894728,0.093675712,9713,15395,15430,60398,31902,60056,0.138537462,0.861462538,0.204408765,0.795591235,0.325496332,0.674503668,26082,30766,39445,10832,22338,31287,9232,0.139249639,0.309748276,0.34700978,0.203992304,0.132233487,0.281750267,0.360577493,0.225438753,20.44%
28049,"Hinds County, Mississippi",Hinds County,244596,114238,130358,100065,83307,30931,26390,57321,0.532952297,0.467047703,0.545693999,0.454306001,0.539610265,0.460389735,0.169483847,0.134321442,0.150675877,0.100074749,0.109490587,14516,22395,23445,65544,37316,73224,0.181314014,0.818685986,0.242528629,0.757471371,0.375056522,0.624943478,26039,28897,37076,9448,23431,31682,8929,0.155601898,0.276082267,0.312311233,0.256004602,0.122616638,0.228991102,0.348253378,0.300138882,24.25%
28051,"Holmes County, Mississippi",Holmes County,18547,8830,9717,7282,6250,2580,2184,4764,0.523912223,0.476087777,0.538131836,0.461868164,0.541561713,0.458438287,0.213438284,0.171665802,0.191565676,0.185889175,0.191747573,1841,3091,3114,4074,1915,3844,0.311242604,0.688757396,0.447542397,0.552457603,0.617459049,0.382540951,21431,23528,30158,7309,20413,26049,9534,0.270667727,0.411565978,0.206677266,0.11108903,0.243199218,0.400716729,0.235706141,0.120377912,44.75%
28053,"Humphreys County, Mississippi",Humphreys County,8822,4177,4645,3489,2906,1271,988,2259,0.526524598,0.473475402,0.545582486,0.454417514,0.562638336,0.437361664,0.204274957,0.168687744,0.18546079,0.246806039,0.254616676,1032,1342,1332,1814,1067,2130,0.362614195,0.637385805,0.3847487,0.6152513,0.557077626,0.442922374,18912,25371,31157,11808,15920,25301,10083,0.40876494,0.272111554,0.214741036,0.10438247,0.296839361,0.278266536,0.25676116,0.168132942,38.47%
28055,"Issaquena County, Mississippi",Issaquena County,1352,831,521,409,735,96,59,155,0.38535503,0.61464497,0.357517483,0.642482517,0.619354839,0.380645161,0.172161172,0.101727447,0.137769447,0.096153846,0.119170984,149,138,144,308,63,265,0.326039387,0.673960613,0.35207824,0.64792176,0.686567164,0.313432836,20000,26094,27148,,15750,18500,,0.391495601,0.343108504,0.200879765,0.064516129,0.231182796,0.346774194,0.284946237,0.137096774,35.21%
28057,"Itawamba County, Mississippi",Itawamba County,23511,11643,11868,9396,8864,2779,2352,5131,0.504784994,0.495215006,0.51456736,0.48543264,0.541609823,0.458390177,0.134146341,0.121416382,0.127738167,0.065121413,0.081086957,1311,1418,1815,7079,3755,7065,0.156257449,0.843742551,0.204391892,0.795608108,0.2741156,0.7258844,26859,31097,35522,11250,21586,29989,10053,0.273090232,0.270561618,0.331115252,0.125232899,0.213241617,0.325635671,0.324038816,0.137083896,20.44%
28059,"Jackson County, Mississippi",Jackson County,140850,69209,71641,54884,51705,17504,14239,31743,0.508633298,0.491366702,0.514912421,0.485087579,0.551428661,0.448571339,0.158921022,0.160075912,0.15950995,0.090526316,0.08306646,6035,7055,8728,45077,26892,45763,0.118074033,0.881925967,0.16017324,0.83982676,0.207823961,0.792176039,30744,36981,47298,12314,24626,35606,9931,0.128553199,0.314595617,0.368630643,0.18822054,0.117974083,0.310857213,0.351265176,0.219903528,16.02%
28061,"Jasper County, Mississippi",Jasper County,16538,8038,8500,6564,6138,1900,1633,3533,0.513967832,0.486032168,0.516769013,0.483230987,0.537786584,0.462213416,0.139485248,0.127459065,0.133280661,0.04466075,0.088433194,1005,1295,1341,5107,2527,5212,0.164430628,0.835569372,0.204639097,0.795360903,0.338827839,0.661172161,27307,31422,39116,7872,24928,28011,13694,0.187765663,0.425799298,0.280539641,0.105895398,0.149641271,0.331226512,0.354116843,0.165015374,20.46%
28063,"Jefferson County, Mississippi",Jefferson County,7528,3732,3796,2893,2875,857,720,1577,0.504250797,0.495749203,0.501560333,0.498439667,0.543436906,0.456563094,0.150391802,0.077290837,0.11153466,0.192307692,0.056134723,659,951,1202,1802,809,1660,0.267777326,0.732222674,0.419986024,0.580013976,0.540340909,0.459659091,21227,22308,32390,16764,19398,24387,11638,0.253068134,0.408379179,0.199746085,0.138806602,0.179487179,0.315073815,0.290986791,0.214452214,42.00%
28065,"Jefferson Davis County, Mississippi",Jefferson Davis County,11771,5705,6066,4942,4349,1356,897,2253,0.515334296,0.484665704,0.531912604,0.468087396,0.601864181,0.398135819,0.19717564,0.189324437,0.193138937,0.153409091,0.137198857,1072,1214,1719,3238,1159,3152,0.248723898,0.751276102,0.352904948,0.647095052,0.511588706,0.488411294,20943,28912,40694,10417,17074,22162,10054,0.235231788,0.393377483,0.266225166,0.105165563,0.17390316,0.367356217,0.278245056,0.180495567,35.29%
28067,"Jones County, Mississippi",Jones County,68313,33207,35106,26774,24142,9065,7132,16197,0.513899258,0.486100742,0.525846492,0.474153508,0.559671544,0.440328456,0.126835212,0.127907646,0.127386555,0.073820785,0.075291151,3324,6369,6166,20201,10850,19977,0.141296493,0.858703507,0.235856635,0.764143365,0.369882107,0.630117893,26546,31351,36910,13851,21454,30010,8207,0.214634609,0.307867406,0.312088016,0.165409968,0.17803478,0.279334797,0.335767348,0.206863076,23.59%
28069,"Kemper County, Mississippi",Kemper County,10128,4931,5197,4030,3975,956,1030,1986,0.513131912,0.486868088,0.503435353,0.496564647,0.481369587,0.518630413,0.144322998,0.132798748,0.138182576,0.079599367,0.10591133,664,942,1149,2685,1169,2597,0.19826814,0.80173186,0.306727176,0.693272824,0.446234012,0.553765988,20192,23858,31625,6435,17331,26565,10163,0.25,0.388760139,0.257242178,0.103997683,0.194117647,0.225588235,0.456470588,0.123823529,30.67%
28071,"Lafayette County, Mississippi",Lafayette County,52193,25377,26816,22157,20581,4796,6142,10938,0.513785374,0.486214626,0.518437924,0.481562076,0.438471384,0.561528616,0.126649288,0.08265608,0.10390038,0.069774459,0.077525189,4629,2193,5080,13647,7240,14301,0.253282994,0.746717006,0.262112378,0.737887622,0.232481713,0.767518287,20824,26119,42242,6142,17007,32295,4876,0.112814053,0.217300021,0.276996291,0.392889635,0.0997962,0.200644271,0.297745053,0.401814476,26.21%
28073,"Lamar County, Mississippi",Lamar County,59623,28686,30937,23409,21008,7678,6116,13794,0.518876943,0.481123057,0.52702794,0.47297206,0.55661882,0.44338118,0.145326504,0.136140145,0.140530709,0.067218736,0.102372526,2618,2824,4093,18208,12298,19184,0.125708249,0.874291751,0.175838811,0.824161189,0.186747785,0.813252215,30446,38317,50461,10483,22849,37007,8030,0.080560902,0.266263404,0.253725598,0.399450096,0.077904171,0.22012114,0.362141134,0.339833555,17.58%
28075,"Lauderdale County, Mississippi",Lauderdale County,79233,38430,40803,31516,28640,9790,7878,17668,0.514974821,0.485025179,0.523904515,0.476095485,0.554109124,0.445890876,0.141911333,0.14875665,0.145541385,0.077024648,0.103208462,3534,6730,7277,22643,11958,23775,0.135004011,0.864995989,0.234348834,0.765651166,0.360124144,0.639875856,24856,30132,40207,8166,21130,27312,8560,0.158697864,0.329888098,0.330254323,0.181159715,0.120182958,0.297017936,0.380681409,0.202117698,23.43%
28077,"Lawrence County, Mississippi",Lawrence County,12603,6176,6427,4885,4624,1552,1423,2975,0.509957947,0.490042053,0.513723841,0.486276159,0.521680672,0.478319328,0.15958482,0.164618018,0.162153577,0.111305565,0.088187702,731,975,1030,3893,2097,3855,0.158088235,0.841911765,0.210849539,0.789150461,0.317382813,0.682617188,27335,38364,44692,9883,20527,29047,8911,0.262399218,0.382604447,0.234546787,0.120449548,0.155212177,0.337407749,0.356549815,0.150830258,21.08%
